date,etl_query_timestamp_utc,data_connector_source_name,data_connector_id,data_connector_username,data_connector_timestamp_utc,source,unified_campaign_name,unified_campaign_id,sub_campaign_id,sub_campaign_name,creative_name,creative_id,filtro_jbp,custom_impressions,custom_clicks,custom_installs,adn_cost,revenue_1d,revenue_7d,revenue_ltv,purchase_unique_1d,purchase_1d,purchase_unique_7d,purchase_7d,purchase_unique_ltv,purchase_ltv
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_COR_IMCREGIONAL_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P-CSD-AQS,23854269176960471,23854269177420471,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_NA-IOS-2P-CORCL87,VID_VAR_8_ANIM_DFCY_4_NET_COIMC-LN-INT-PR-1002,23854269293130471,JBP RACCOON,,,,,"50,1802","68,9006","68,9006",2,2,3,3,3,3
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_PTG_COLHEITA_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23854203209600410,23854239655360410,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-AND-1LLCDP-FB157,BNR_VAR_STA_TESTEB_DFCY_13_NET_PATCO-LT-INT-NA-1001,23854239655370410,JBP RACCOON,,,1,,,,"56,2701",,,,,,1
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_SKO_AONRGB_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P3P-CSD-AQS,23852862523180383,23852862523290383,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_NA-IOS-INT3P2P-FB075,IMG_VAR_STA_TESTEACTANOVO_DFCY_1_NET_SKRGB-300-INT-NA-1001,23854349785520383,JBP RACCOON,20163,35,,"124,171",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_PTG_AONINSTITUCIONAL_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P-CSD-AQS,23854821287360410,23854821287930410,SOC_FBI_2P_QNP_BNTNAT_OTHERR_OTHERR_CPM_NA-AND-2P-PTGCL90,VID_VAR_11_AMBER_DFCY_2862_NET_NA,23854821287760410,JBP RACCOON,745,48,,"15,1406",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_BUD_AONBUDREGULAR_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23853966881780572,23853966881900572,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_CPM_AND-1LLPLX-FB169,VID_VAR_10_FAMILIA_DFCY_16_NET_BDAON-FA-FAM-NA-1002,23853967191680572,JBP RACCOON,46096,220,,"137,7206",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_COR_IMCREGIONAL_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23854269024110471,23854269024330471,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-IOS-1LL-CORCL88,VID_VAR_8_ANIM_DFCY_2_NET_COIMC-LN-INT-PR-1002,23854269292830471,JBP RACCOON,,,,,"71,4802","71,4802","71,4802",2,2,2,2,2,2
26/05/2023,01/07/2023 03:10:18,Facebook,62hfmbga,lfelipedesantana@gmail.com,25/06/2023 21:42:11,Facebook,BRA_BRD_COR_SUNBREW_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-3P-CSD-AQS,23854105707560471,23854598068260471,SOC_FBI_3PT_NQNP_BNTNAT_OTHERR_OTHERR_CPM_AND-TAIL3LL-FB006,IMG_VAR_STA_IMGTA_DFCY_27_NET_COCSU-LN-ZRAL-NA-1001,23854598068290471,JBP RACCOON,4323,33,,"46,5807",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_BEK_AONQ1_NA_NON_RMK_RAC_BFRACZE-FBI-CONV-1PZE-CSD-RET,23853407516340429,23853407516310429,SOC_FBI_1P_QP_BNTNAT_RTG_RTG_CPM_CDPCA-AND-1PZECDP-FB002,BNR_VAR_STA_AMARGO_DFCY_44_NET_NA-LT-NA-NA-1005,23853557225620429,JBP RACCOON,,,,,,,"143,5003",,,,,1,3
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_MLU_AONQ1_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P3P-CSD-AQS,23852820296870752,23852820513300752,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_NA-IOS-INT3P2P-FB005,IMG_VAR_STA_TESTEB_DFCY_1_NET_MIAOC-LN-INT-NA-1002,23853908243490752,JBP RACCOON,,,5,,"131,8705","231,5509","1070,4721",3,3,4,4,5,11
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_MLU_AONQ1_NA_NON_RMK_RAC_BFRACZE-FBI-CONV-1PZE-CSD-RET,23853234904970752,23853285382980752,SOC_FBI_1P_QNP_BNTNAT_RTG_RTG_CPM_PIX-AND-1PZEPLX-FB003,IMG_VAR_STA_80PORCENTOMENOSCARB_DFCY_1_NET_MIAMI-LN-INT-NA-1001,23854081670290752,JBP RACCOON,,,1,,"105,5004","144,4708","144,4708",2,2,3,3,3,3
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_BRA_OCASIOES_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P-CSD-AQS,23853140763730488,23853141179910488,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_NA-KING-AND-2P-BRACL142,BNR_VAR_STA_ANIVERSARIO_DFCY_5_NET_BRCH-300-CHU-ATO-1002,23854294909000488,JBP RACCOON,,,,,"237,0808","319,3311","1297,0563",2,3,2,4,2,21
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_BUD_IMCBUDZERO_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23853966061460572,23853966061470572,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_IOS-1LLPLX-FB170,BNR_VAR_STA_OCASIAO_DFCY_9_NET_BUZIM-FA-MECJ-NA-1002,23853966061610572,JBP RACCOON,36,,,"0,2105",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_BUD_AONBUDREGULAR_NA_NON_RMK_RAC_BFRACZE-FBI-CONV-1PZE-CSD-RET,23853959064160572,23853959478920572,SOC_FBI_1P_QNP_BNTNAT_RTG_RTG_CPM_CPM_IOS-1PZECDP-FB031,BNR_VAR_STA_REGULAR_DFCY_6_NET_BDAON-FA-REG-NA-1001,23853959478930572,JBP RACCOON,,,8,,"1708,9057","2526,5098","4794,3592",22,28,27,45,31,78
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_PTG_AONINSTITUCIONAL_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-3P-CSD-AQS,23854821287350410,23854821287830410,SOC_FBI_3PT_QNP_BNTNAT_OTHERR_OTHERR_CPM_NA-AND-TAIL3P-FB009,VID_VAR_11_LAGER_DFCY_2898_NET_NA,23854821287540410,JBP RACCOON,59,2,,"1,1407",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_BRA_OCASIOES_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23853634053750488,23853634053730488,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-SKOL1-AND-1LLCDP-FB135,BNR_VAR_STA_ACABOU_DFCY_12_NET_BRCH-300-CHU-ATZ-1001,23854294819000488,JBP RACCOON,90,1,,"1,0808",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,62hfmbga,lfelipedesantana@gmail.com,25/06/2023 21:42:11,Facebook,BRA_BRD_COR_NATURALS_NA_NON_RMK_RAC_BFRACZE-FBI-CONV-1PZE-CSD-RET,23853728515880471,23854566795170471,SOC_FBI_1P_QNP_BNTNAT_ABIBD_ABIBD_CPM_AND-1PZECDP-FB036,IMG_VAR_STA_CTAB_DFCY_86_NET_COZNA-LN-NA-NA-1004,23854566795290471,JBP RACCOON,7203,39,,"60,5001",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_BRA_FLITGHTBDM_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1P-CSD-AQS,23853509696710488,23853509945600488,SOC_FBI_1P_QNP_BNTNAT_ABIBD_ABIBD_CPM_PIX-GERAL-AND-1PCDP-FB002,BNR_VAR_STA_TESTEA_DFCY_1_NET_BFBDM-FA-NA-ATZ-1001,23853509945590488,JBP RACCOON,,,1,,"26,2502","26,2502","26,2502",1,1,1,1,1,1
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_BUD_IMCBUDZERO_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-3P-CSD-AQS,23853984315940572,23853984316130572,SOC_FBI_3PT_NQNP_BNTNAT_OTHERR_OTHERR_CPM_IOS-3P-BUDCL132,BNR_VAR_STA_PRODUTO_DFCY_22_NET_BUZIM-FA-MECJ-NA-1001-2,23854156175970572,JBP RACCOON,8,,,"0,0604",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,62hfmbga,lfelipedesantana@gmail.com,25/06/2023 21:42:11,Facebook,BRA_BRD_COR_NATURALS_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23853768047890471,23854196938500471,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-IOS-1LLCDP-FB168,IMG_VAR_STA_PB_DFCY_40_NET_CNAQU-LN-OCA-NA-1002,23854196938540471,JBP RACCOON,51,,,"0,7005",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:40:01,Facebook,BRA_BRD_STL_ALWAYSONQ1_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23852778154350486,23853301414710486,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-IOS-1LL-STLCL21,VID_VAR_10_PRODUTOSEP600ML_DFCY_21_NET_ZE,23853301414690486,JBP RACCOON,7424,31,,"86,7709",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_PTG_COLHEITA_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-3P-CSD-AQS,23854820601610410,23854849153400410,SOC_FBI_3PT_QNP_BNTNAT_OTHERR_OTHERR_CPM_NA-AND-3P-PTGCL172,BNR_VAR_STA_TESTEB_DFCY_100_NET_PATCO-LT-INT-NA-1001,23854849153420410,JBP RACCOON,1887,10,,"25,3704",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_PTG_AONINSTITUCIONAL_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23853383706290410,23853383706460410,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-IOS-1LLCDP-FB119,VID_VAR_11_AMBER_DFCY_491_NET_NA,23853383706300410,JBP RACCOON,594,14,,"12,1702",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_PTG_AONINSTITUCIONAL_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P-CSD-AQS,23854821287360410,23854849324600410,SOC_FBI_2P_QNP_BNTNAT_OTHERR_OTHERR_CPM_NA-AND-INT2P-FB089,VID_VAR_11_LAGER_DFCY_2874_NET_NA,23854849324670410,JBP RACCOON,223,11,,"5,9605",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_BUD_AONBUDREGULAR_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23853966881780572,23853967409040572,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_CPM_AND-1LLPLX-FB173,VID_VAR_10_FAMILIA_DFCY_14_NET_BDAON-FA-FAM-NA-1002,23853967409070572,JBP RACCOON,9772,25,,"52,2808",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_BUD_AONBUDREGULAR_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P-CSD-AQS,23854176156840572,23854176284750572,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_IOS-2P-BUDCL145,VID_VAR_10_FAMILIA_DFCY_22_NET_BDAON-FA-FAM-NA-1002,23854176284800572,JBP RACCOON,48478,94,,"419,5505",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_MLU_AONQ1_NA_NON_RMK_RAC_BFRACZE-FBI-CONV-1PZE-CSD-RET,23853234904970752,23853234973970752,SOC_FBI_1P_QNP_BNTNAT_RTG_RTG_CPM_PIX-IOS-1PZEPLX-FB003,VID_1080X1080_STA_COMTRILHA80PORCENTOMENOSCARB_DFCY_3_NET_MIAMI-LN-INT-NA-1002,23854093865570752,JBP RACCOON,3741,8,,"72,6305",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_MLU_AONQ1_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P3P-CSD-AQS,23852820296870752,23852820513340752,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_NA-AND-INT3P2P-FB076,VVF_VAR_STA_CALORIA-2_DFCY_44_NET_NA,23852820513350752,JBP RACCOON,5649,60,,"60,1606",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_COR_SUNBREW_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1P-CSD-AQS,23854105707540471,23854105708190471,SOC_FBI_1P_QNP_BNTNAT_ABIBD_ABIBD_CPM_AND-1P-CORCL89,VID_VAR_10_VIDTB_DFCY_10_NET_COCSU-LN-ZRAL-NA-1002,23854107045840471,JBP RACCOON,,,1,,"286,64","286,64","286,64",1,1,1,1,1,1
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_RTD_AONH1_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23853119829060441,23853489373990441,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-IOS-1LLCDP-FB163,BNR_VAR_STA_UNIDADE_DFCY_2134_NET_NA,23853489374050441,JBP RACCOON,,,2,,,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_MLU_AONQ1_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23852820576810752,23852820577150752,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-AND-1LLCDP-FB092,IMG_VAR_STA_80PORCENTOMENOSCARB_DFCY_3_NET_MIAMI-LN-INT-NA-1001,23854081963110752,JBP RACCOON,,,,,"36,6104","36,6104","65,9408",1,1,1,1,1,2
26/05/2023,01/07/2023 03:10:18,Facebook,62hfmbga,lfelipedesantana@gmail.com,25/06/2023 21:42:11,Facebook,BRA_BRD_COR_NATURALS_NA_NON_ACQ_RAC_BFRACZE-FBI-3CO-2P-CSD-AQS,23854255361700471,23854255361690471,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_NA-CSD-AMP2P-FB059,IMG_VAR_STA_PB_DFCY_43_NET_CNAQU-LN-OCA-NA-1002,23854255361750471,JBP RACCOON,27831,192,,"290,9204",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_MLU_AONQ1_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P3P-CSD-AQS,23852820296870752,23852820513310752,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_NA-IOS-INT3P2P-FB074,IMG_VAR_STA_TESTEA_DFCY_1_NET_MIAOC-LN-INT-NA-1001,23853908243470752,JBP RACCOON,,,1,,,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_MLU_AONQ1_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P3P-CSD-AQS,23852820296870752,23852820513340752,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_NA-AND-INT3P2P-FB076,VVF_VAR_STA_CALORIA-2_DFCY_44_NET_NA,23852820513350752,JBP RACCOON,,,,,"27,4403","27,4403","122,2506",1,1,1,1,1,3
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_BUD_AONBUDREGULAR_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P-CSD-AQS,23854176156840572,23854176157100572,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_IOS-2P-BUDCL6,BNR_VAR_STA_FAMILIA_DFCY_20_NET_BDAON-FA-FAM-NA-1002,23854176156900572,JBP RACCOON,,,1,,"28,2305","28,2305","63,5707",1,1,1,1,2,2
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_SKO_AONRGB_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23852862361770383,23852862361920383,SOC_FBI_1LL_NQNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-IOS-1LLCDP-FB037,IMG_VAR_STA_TESTEBCTAPADRAO_DFCY_1_NET_SKRGB-300-INT-NA-1002,23854349799780383,JBP RACCOON,,,,,"27,5601","27,5601","27,5601",1,1,1,1,1,1
26/05/2023,01/07/2023 03:10:18,Facebook,7an7y322,gu.hervas@gmail.com,25/06/2023 21:50:49,Facebook,BRA_BRD_BUD_AONBUDREGULAR_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1LL-CSD-AQS,23853966881780572,23853966881880572,SOC_FBI_1LL_QNP_BNTNAT_ABIBD_ABIBD_CPM_CPM_AND-1LL-BUDCL36,BNR_VAR_STA_FAMILIA_DFCY_17_NET_BDAON-FA-FAM-NA-1002,23853967165880572,JBP RACCOON,168757,1642,,"1221,8401",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_COR_NATURALS_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-1P-CSD-AQS,23853765673150471,23853765955530471,SOC_FBI_1P_QNP_BNTNAT_ABIBD_ABIBD_CPM_CDPCA-AND-1P-CORCL89,VID_VAR_15_CTAA_DFCY_45_NET_COZNA-LN-NA-NA-1001,23854071512210471,JBP RACCOON,,,,,"81,5206","81,5206","182,0809",2,2,2,2,2,4
26/05/2023,01/07/2023 03:10:18,Facebook,62hfmbga,lfelipedesantana@gmail.com,25/06/2023 21:42:11,Facebook,BRA_BRD_COR_NATURALS_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-2P-CSD-AQS,23854416826360471,23854416826390471,SOC_FBI_2P_NQNP_BNTNAT_OTHERR_OTHERR_CPM_NA-IOS-2P-CORCL89,IMG_VAR_STA_PA_DFCY_45_NET_CNAQU-LN-OCA-NA-1001,23854416826660471,JBP RACCOON,3781,12,,"18,2505",,,,,,,,,
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_STL_ALWAYSONQ1_NA_NON_RMK_RAC_BFRACZE-FBI-CONV-1PZE-CSD-RET,23853187358600486,23853187358790486,SOC_FBI_1P_QNP_BNTNAT_RTG_RTG_CPM_PIX-AND-1PZEPLX-FB006,VID_VAR_15_TESTEA_DFCY_2_NET_STAMI-LT-INT-NA-1005,23853845093760486,JBP RACCOON,,,1,,"669,5816","777,4023","2844,4403",7,9,8,12,10,43
26/05/2023,01/07/2023 03:10:18,Singular Attribution,frjxqyxb,,,Facebook,BRA_BRD_MIK_AON_NA_NON_ACQ_RAC_BFRACZE-FBI-CONV-NA-CSD-AQS,23852958800450732,23852959047250732,SOC_FBI_2P_NQNP_BNTNAT_A1834D_A1834D_CPM_NA-AND-2P3P-MKSCL55,BNR_VAR_STA_MIKESICEV2_NA_77_NET_MAI23,23853833787610732,JBP RACCOON,,,,,"57,0905","57,0905","57,0905",1,1,1,1,1,1
