var01,var02,var03,var04,var05,var06,var07,var08,var09,var10,var11,var12,var13,var14,var15
True,n579,,87,,,s25,2/22/2022 20:23,4,10,10,10,10,10,4
True,n580,,69,,,s12,2/28/2022 21:06,-10,,,,,,-10
True,n581,a,67,6,1,s30,2/3/2022 23:27,3,,,,,,3
True,n582,a,61,,,s12,2/21/2022 23:22,-7,0,2,3,1,0,-7
True,n583,,121,,,s03,2/5/2022 7:09,1,,,,,,1
True,n584,,,,,s37,2/22/2022 16:07,4,10,10,10,10,10,4
True,n585,a,68,,,s39,2/7/2022 20:14,4,,,,,,4
True,n586,,60,,,s39,2/23/2022 5:06,4,10,10,10,10,10,4
True,n587,,67,139,8,s39,2/16/2022 0:44,2,8,7,8,5,8,2
True,n588,,80,,,s24,2/25/2022 13:59,2,,9,,,,2
True,n589,a,73,,,s12,2/27/2022 16:40,-10,4,9,0,4,4,-10
True,n590,a,54,,,s34,2/1/2022 12:07,-4,9,9,7,9,9,-4
True,n591,,72,,,s20,2/25/2022 14:51,2,,,,,8,2
True,n592,,36,,,s12,2/22/2022 18:13,-6,0,0,0,0,0,-6
True,n593,a,40,,,s01,2/24/2022 0:29,2,8,9,7,7,7,2
True,n594,,,,,s20,2/6/2022 23:28,-10,1,5,0,0,0,-10
True,n595,a,69,,,s20,2/2/2022 10:06,-5,8,8,8,8,8,-5
True,n596,a,54,102,3,s44,2/5/2022 0:42,4,,,,,10,4
True,n597,a,53,6,1,s04,2/22/2022 11:52,3,9,9,8,8,9,3
True,n598,,,,,s27,2/23/2022 7:30,4,10,10,8,7,6,4
True,n599,,,,,s26,2/13/2022 15:41,2,7,8,8,8,6,2
True,n600,,,,,s15,2/1/2022 15:25,-4,2,1,5,5,7,-4
True,n601,a,59,,,s02,2/23/2022 1:38,3,9,,9,,,3
True,n602,,72,,,s07,2/22/2022 19:10,2,8,9,9,8,8,2
True,n603,,,,,s30,2/4/2022 17:03,3,,10,,,,3
True,n604,,,,,s03,2/2/2022 20:49,-7,10,10,10,10,10,-7
True,n605,a,58,,,s07,2/28/2022 19:35,2,8,8,9,8,8,2
True,n606,c,70,,,s01,2/6/2022 12:42,2,8,8,6,7,11,2
True,n607,a,59,,,s12,2/23/2022 18:19,4,10,10,10,,10,4
True,n608,,77,126,1,s07,2/4/2022 18:37,1,,,,,,1
True,n609,,55,,,s39,2/2/2022 23:19,-2,10,10,10,10,10,-2
True,n610,,71,,,s06,2/1/2022 20:21,-5,,,,,8,-5
True,n611,,87,,,s08,2/24/2022 21:54,-6,0,0,0,0,0,-6
True,n612,,,,,s27,2/22/2022 19:41,3,,,,,9,3
True,n613,,,,,s24,2/9/2022 14:02,3,9,9,10,9,9,3
True,n614,a,62,,,s12,2/24/2022 20:01,-3,5,5,4,5,5,-3
True,n615,a,69,,,s29,2/6/2022 4:28,4,10,10,10,5,9,4
True,n616,a,80,,,s38,2/24/2022 14:17,3,,,,,9,3
True,n617,,,,,s20,2/15/2022 2:10,3,9,10,9,9,9,3
True,n618,a,61,36,1,s37,2/5/2022 15:10,1,6,7,7,2,6,1
True,n619,a,70,,,s34,2/25/2022 3:15,4,10,10,10,10,8,4
True,n620,a,74,20,3,s22,2/7/2022 4:13,4,9,9,8,9,8,4
True,n621,,,,,s08,2/28/2022 13:01,3,9,,,,,3
True,n622,a,94,23,1,s18,2/28/2022 15:05,1,,,,,7,1
True,n623,a,68,,,s27,2/27/2022 23:25,4,,,,,,4
True,n624,a,70,,,s04,2/22/2022 16:06,4,,,,,10,4
True,n625,a,65,,,s30,2/6/2022 23:43,-10,,5,,,,-10
True,n626,,61,,,s30,2/28/2022 3:58,-10,0,,,,,-10
True,n627,a,46,38,2,s39,2/23/2022 19:22,4,10,10,10,10,10,4
True,n628,,74,,,s43,2/22/2022 23:08,4,10,10,10,10,10,4
True,n629,a,52,,,s31,2/22/2022 17:44,4,10,10,10,10,10,4
True,n630,,,,,s20,2/21/2022 17:02,3,9,9,7,7,9,3
True,n631,,,,,s33,2/2/2022 22:30,2,8,9,8,8,8,2
True,n632,a,84,,,s07,2/1/2022 3:19,-1,10,,,,,-1
True,n633,b,77,,,s29,2/4/2022 22:31,4,10,10,10,10,10,4
True,n634,a,58,,,s39,2/1/2022 18:05,-4,,,,,8,-4
True,n635,a,74,,,s24,2/5/2022 20:29,-10,0,0,0,0,0,-10
True,n636,,59,,,s01,2/28/2022 22:12,-10,3,0,4,4,2,-10
True,n637,a,59,,,s31,2/6/2022 12:43,4,9,9,5,8,8,4
True,n638,a,80,,,s12,2/25/2022 17:05,4,10,10,10,10,8,4
True,n639,a,60,,,s24,2/5/2022 14:46,2,8,8,6,8,8,2
True,n640,,72,,,s16,2/25/2022 3:07,4,10,8,8,9,10,4
True,n641,,,,,s08,2/3/2022 22:03,-10,5,6,0,4,5,-10
True,n642,,,,,s03,2/25/2022 20:02,3,8,8,7,7,,3
True,n643,,,,,s37,2/5/2022 0:45,4,10,8,10,8,8,4
True,n644,a,76,,,s21,2/3/2022 3:00,-7,10,10,10,10,10,-7
True,n645,a,53,,,s18,2/4/2022 21:01,4,,10,,,,4
True,n646,,121,,,s21,2/28/2022 15:38,3,,9,,,,3
True,n647,,57,,,s12,2/27/2022 14:46,4,10,10,10,10,10,4
True,n648,a,79,,,s34,2/25/2022 13:12,-3,5,6,6,5,5,-3
True,n649,a,63,45,2,s12,2/21/2022 16:47,4,10,10,10,10,8,4
True,n650,a,71,,,s08,2/25/2022 13:49,4,,,,,,4
True,n651,,121,,,s29,2/1/2022 7:31,-1,9,10,10,10,10,-1
True,n652,a,74,,,s30,2/28/2022 2:20,2,6,,4,,,2
True,n653,,69,,,s02,2/27/2022 17:26,2,,,,,8,2
True,n654,,,,,s20,2/25/2022 0:09,4,10,10,10,10,10,4
True,n655,,62,,,s17,2/23/2022 11:35,3,10,9,9,9,10,3
True,n656,b,64,,,s31,2/11/2022 18:44,-10,,,,,,-10
True,n657,a,69,,,s34,2/3/2022 13:15,2,,9,,,,2
True,n658,,87,,,s26,2/25/2022 15:24,3,8,9,8,8,8,3
True,n659,a,59,,,s07,2/2/2022 3:17,-10,,1,,,,-10
True,n660,a,57,,,s31,2/8/2022 17:18,1,,,,,,1
True,n661,,,,,s08,2/22/2022 13:27,4,9,10,7,5,11,4
True,n662,a,76,294,3,s22,2/24/2022 13:48,2,8,10,7,8,8,2
True,n663,a,62,16,4,s12,2/22/2022 14:10,4,10,10,10,10,10,4
True,n664,,,,,s07,2/22/2022 14:55,-10,4,5,3,5,5,-10
True,n665,,,,,s31,2/4/2022 0:01,-7,,,,,,-7
True,n666,a,70,,,s30,2/8/2022 12:33,-10,8,8,6,8,7,-10
True,n667,,61,,,s39,2/22/2022 19:02,-10,1,5,0,0,2,-10
True,n668,a,35,,,s10,2/26/2022 5:09,-10,1,,,,,-10
True,n669,,66,,,s07,2/25/2022 6:14,4,10,10,10,10,10,4
True,n670,a,84,,,s15,2/5/2022 15:15,3,,,,,,3
True,n671,,54,,,s18,2/22/2022 23:21,2,8,10,8,8,8,2
True,n672,c,69,,,s43,2/28/2022 18:55,3,,,,,,3
True,n673,a,81,25,1,s24,2/27/2022 19:34,4,,,,,,4
True,n674,a,77,,,s12,2/9/2022 2:42,-6,10,10,10,10,10,-6
True,n675,a,66,98,2,s40,2/7/2022 16:42,1,,,,,,1
True,n676,a,63,159,5,s03,2/4/2022 12:19,2,,,,,8,2
True,n677,a,71,,,s04,2/28/2022 23:14,1,4,3,4,4,4,1
True,n678,,,,,s15,2/10/2022 4:42,4,10,10,9,9,9,4
True,n679,a,81,,,s03,2/2/2022 19:49,-7,,10,,,,-7
True,n680,,,,,s39,2/4/2022 15:25,-10,0,0,0,0,0,-10
True,n681,a,59,,,s21,2/28/2022 23:20,2,8,8,8,8,8,2
True,n682,,121,,,s07,2/23/2022 2:50,2,9,9,9,9,11,2
True,n683,a,66,,,s07,2/25/2022 18:34,3,,,,,,3
True,n684,,66,,,s37,2/27/2022 6:41,2,,,,,8,2
True,n685,a,62,,,s44,2/24/2022 0:38,-10,3,0,0,0,8,-10
True,n686,a,84,132,5,s26,2/8/2022 19:12,3,,,,,,3
True,n687,a,77,6,1,s29,2/25/2022 15:34,4,10,8,4,7,6,4
True,n688,a,53,29,1,s22,2/3/2022 19:51,2,6,7,8,6,5,2
True,n689,a,57,,,s02,2/7/2022 5:24,4,10,10,8,8,8,4
True,n690,a,69,,,s30,2/2/2022 16:06,-7,,,,,,-7
True,n691,a,63,,,s21,2/1/2022 16:26,-7,0,0,0,0,0,-7
True,n692,a,82,,,s04,2/6/2022 20:28,4,10,10,10,10,10,4
True,n693,a,45,,,s37,2/28/2022 20:04,4,10,,,,,4
True,n694,a,71,,,s30,2/25/2022 14:04,4,10,10,10,10,10,4
True,n695,a,85,,,s32,2/1/2022 2:53,-1,9,8,9,8,9,-1
True,n696,a,71,45,5,s44,2/28/2022 13:39,4,,9,,,,4
True,n697,a,74,,,s23,2/7/2022 20:05,4,10,10,10,10,10,4
True,n698,,,,,s02,2/22/2022 15:13,2,,,,,,2
True,n699,a,70,,,s05,2/21/2022 16:16,4,10,10,10,10,10,4
True,n700,,66,,,s27,2/25/2022 19:16,3,9,9,10,10,9,3
True,n701,,65,100,2,s09,2/23/2022 18:56,4,10,10,9,10,11,4
True,n702,a,66,,,s31,2/22/2022 16:31,4,10,10,8,10,10,4
True,n703,,74,7,1,s43,2/24/2022 15:11,3,5,9,5,6,5,3
True,n704,,73,,,s30,2/23/2022 21:56,3,,,,,,3
True,n705,a,72,,,s12,2/8/2022 15:10,4,9,10,9,7,9,4
True,n706,,58,,,s24,2/23/2022 6:45,4,10,10,10,10,10,4
True,n707,,50,,,s12,2/22/2022 14:56,4,9,7,7,9,9,4
True,n708,b,60,136,1,s21,2/6/2022 22:38,4,,10,,,,4
True,n709,,,,,s12,2/23/2022 13:31,-6,0,0,0,0,0,-6
True,n710,a,73,,,s38,2/24/2022 22:53,-3,5,5,5,5,5,-3
True,n711,a,82,126,3,s38,2/25/2022 16:19,-10,,,,,,-10
True,n712,,82,,,s20,2/5/2022 16:42,-2,5,7,7,6,5,-2
True,n713,a,51,,,s12,2/4/2022 11:23,-10,,,,,,-10
True,n714,a,75,42,3,s44,2/26/2022 12:41,3,,10,,,,3
True,n715,b,50,,,s08,2/23/2022 3:34,2,8,9,8,9,8,2
True,n716,a,58,10,1,s08,2/9/2022 17:51,4,10,10,10,10,10,4
True,n717,,62,30,1,s44,2/2/2022 15:44,0,,6,,,,0
True,n718,a,75,,,s12,2/24/2022 2:36,4,10,10,9,8,11,4
True,n719,c,78,10,1,s02,2/2/2022 16:23,-7,10,9,10,10,10,-7
True,n720,a,71,,,s07,2/5/2022 15:33,4,,10,,,,4
True,n721,a,85,,,s39,2/21/2022 21:24,4,10,10,10,10,9,4
True,n722,,69,,,s07,2/22/2022 17:13,-10,4,4,5,5,5,-10
True,n723,a,75,,,s33,2/22/2022 18:46,2,8,8,5,8,8,2
True,n724,a,55,,,s07,2/5/2022 16:56,3,,8,,,,3
True,n725,a,44,,,s10,2/5/2022 20:07,3,9,9,9,9,9,3
True,n726,a,64,,,s07,2/23/2022 18:15,-10,,,,,,-10
True,n727,a,50,,,s12,2/7/2022 0:04,4,,10,,,,4
True,n728,a,73,,,s37,2/22/2022 17:51,3,9,,,,,3
True,n729,a,60,,,s44,2/5/2022 11:39,-10,5,5,0,5,5,-10
True,n730,a,63,,,s38,2/2/2022 2:20,1,7,7,2,7,8,1
True,n731,a,56,,,s07,2/22/2022 18:02,4,,,,,,4
True,n732,a,86,46,3,s41,2/24/2022 12:38,3,9,10,6,3,11,3
True,n733,a,80,,,s03,2/6/2022 3:25,4,,10,,,,4
True,n734,a,42,,,s13,2/21/2022 23:09,-10,1,7,7,1,4,-10
True,n735,a,56,,,s17,2/24/2022 15:15,-10,3,7,5,3,3,-10
True,n736,,,,,s30,2/2/2022 12:49,-5,,10,,,,-5
True,n737,,54,,,s36,2/28/2022 5:03,2,8,,,,,2
True,n738,b,68,,,s30,2/9/2022 1:37,4,,10,,,,4
True,n739,a,59,,,s22,2/6/2022 15:48,4,10,10,10,10,7,4
True,n740,,53,,,s44,2/28/2022 15:54,-10,2,2,2,2,2,-10
True,n741,,59,,,s39,2/24/2022 14:28,-10,1,1,1,0,1,-10
True,n742,,70,,,s12,2/5/2022 15:47,3,6,9,10,8,5,3
True,n743,,59,,,s25,2/24/2022 4:25,-10,0,2,2,2,0,-10
True,n744,a,74,,,s43,2/26/2022 19:30,-10,2,7,1,1,11,-10
True,n745,,,,,s05,2/24/2022 21:42,4,,10,,,,4
True,n746,a,42,,,s41,2/5/2022 15:36,4,10,10,10,10,10,4
True,n747,a,62,,,s31,2/1/2022 13:02,-4,8,10,8,8,8,-4
True,n748,a,59,,,s44,2/23/2022 18:38,-6,0,0,0,0,0,-6
True,n749,,75,,,s07,2/22/2022 12:18,3,5,8,4,6,6,3
True,n750,,121,,,s38,2/22/2022 23:24,4,10,10,10,10,10,4
True,n751,b,74,,,s12,2/21/2022 23:48,-10,0,6,9,0,0,-10
True,n752,a,107,,,s31,2/28/2022 20:50,1,7,8,6,5,8,1
True,n753,a,80,,,s02,2/8/2022 21:37,3,6,9,,8,5,3
True,n754,a,72,,,s08,2/26/2022 22:25,4,,8,,,,4
True,n755,a,90,,,s17,2/28/2022 16:57,4,,10,,,,4
True,n756,a,67,,,s31,2/3/2022 19:13,-10,0,2,0,0,0,-10
True,n757,a,79,2,1,s34,2/27/2022 17:47,3,9,9,8,8,11,3
True,n758,b,67,,,s14,2/23/2022 7:54,1,8,8,8,6,8,1
True,n759,a,41,,,s21,2/22/2022 13:17,-10,0,1,2,0,0,-10
True,n760,b,67,,,s28,2/22/2022 20:26,0,9,9,9,5,11,0
True,n761,,121,,,s16,2/24/2022 16:53,1,,,,,,1
True,n762,,,,,s18,2/28/2022 14:54,4,10,10,10,10,10,4
True,n763,,67,,,s12,2/8/2022 3:17,-10,,2,,,,-10
True,n764,a,67,,,s07,2/2/2022 12:55,1,8,8,3,3,6,1
True,n765,a,55,,,s24,2/8/2022 9:28,1,10,9,4,7,10,1
True,n766,,,,,s06,2/2/2022 16:43,-10,,5,,,,-10
True,n767,a,60,,,s08,2/4/2022 20:58,4,10,10,9,9,10,4
True,n768,,,,,s21,2/22/2022 15:03,2,10,10,10,10,10,2
True,n769,,,,,s07,2/5/2022 14:43,-2,,,,,,-2
True,n770,,,,,s31,2/5/2022 0:44,4,,10,,,,4
True,n771,,31,,,s17,2/22/2022 3:46,4,10,10,10,10,10,4
True,n772,,55,5,1,s34,2/28/2022 10:44,1,,,,,,1
True,n773,,121,,,s39,2/24/2022 20:45,4,,,,,,4
True,n774,,121,,,s03,2/4/2022 15:45,3,,,,,,3
True,n775,b,56,,,s19,2/22/2022 16:41,-10,,3,,,,-10
True,n776,a,71,,,s30,2/25/2022 0:07,4,9,9,9,10,5,4
True,n777,,47,,,s22,2/8/2022 0:17,-10,,6,,,,-10
True,n778,,62,,,s38,2/24/2022 23:22,4,,10,,,,4
True,n779,a,69,,,s07,2/25/2022 3:08,4,10,,10,10,,4
True,n780,a,62,,,s21,2/28/2022 12:50,1,,,,,,1
True,n781,a,54,,,s12,2/6/2022 16:12,2,6,6,7,5,6,2
True,n782,a,79,,,s05,2/21/2022 18:29,-8,3,3,2,3,11,-8
True,n783,,76,,,s24,2/24/2022 21:44,2,8,9,9,9,8,2
True,n784,a,69,13,5,s21,2/9/2022 3:43,3,,9,,,,3
True,n785,b,85,,,s03,2/25/2022 16:32,-10,0,0,0,0,0,-10
True,n786,,47,,,s07,2/22/2022 14:49,-10,0,0,0,0,0,-10
True,n787,,,,,s20,2/22/2022 23:05,4,10,10,9,9,10,4
True,n788,a,70,,,s39,2/25/2022 18:54,4,,,,,,4
True,n789,,,,,s07,2/24/2022 23:23,4,7,7,6,6,8,4
True,n790,,,,,s05,2/22/2022 16:21,3,10,8,8,8,10,3
True,n791,a,71,,,s39,2/10/2022 16:38,-10,8,3,10,8,9,-10
True,n792,a,53,39,3,s28,2/23/2022 3:24,4,10,10,8,10,10,4
True,n793,a,70,,,s30,2/22/2022 18:57,4,9,9,8,8,7,4
True,n794,,48,,,s01,2/6/2022 21:40,4,10,10,10,10,10,4
True,n795,a,35,,,s01,2/23/2022 15:43,3,7,9,8,7,9,3
True,n796,,,,,s39,2/3/2022 18:12,-7,,,,,,-7
True,n797,a,66,,,s24,2/23/2022 3:33,3,10,9,8,9,9,3
True,n798,,,,,s22,2/3/2022 21:50,2,8,7,8,7,8,2
True,n799,,,,,s39,2/10/2022 5:01,4,,,,,,4
True,n800,,,,,s03,2/25/2022 0:58,0,7,6,5,5,6,0
True,n801,,,,,s12,2/23/2022 13:53,4,10,10,9,9,9,4
True,n519,a,76,,,s06,2/2/2022 22:09,-2,9,9,10,7,10,-2
True,n598,,,,,s27,2/23/2022 7:30,4,10,10,8,7,6,4
True,n654,,,,,s20,2/25/2022 0:09,4,10,10,10,10,10,4
True,n408,a,61,,,s41,2/22/2022 22:58,2,,,,,,2
True,n545,a,64,,,s21,2/27/2022 14:37,2,,10,,,,2
True,n271,a,81,,,s39,2/23/2022 11:17,4,,10,,,,4
True,n403,,,,,s03,2/22/2022 18:33,4,10,10,10,10,10,4
True,n210,b,72,,,s16,2/28/2022 1:39,4,10,10,9,9,10,4
True,n017,,55,,,s20,2/24/2022 19:59,3,9,10,9,8,8,3
True,n105,,56,,,s07,2/26/2022 14:57,4,,10,,,,4
True,n644,a,76,,,s21,2/3/2022 3:00,-7,10,10,10,10,10,-7
True,n074,,,,,s39,2/28/2022 2:55,4,,,,,,4
True,n699,a,70,,,s05,2/21/2022 16:16,4,10,10,10,10,10,4
True,n096,a,69,,,s04,2/8/2022 2:25,4,9,8,9,9,8,4
