AU;TI;PY;AB;AB_Clean;DI;UT;Country;Field;Subject;Quartile
"Maze, A; Domenech, AC; Goldringer, I";Commoning the seeds: alternative models of collective action and open innovation within French peasant seed groups for recreating local knowledge commons;2020;"In this article, we expand the analytical and theoretical foundations of the study of knowledge commons in the context of more classical agrarian commons, such as seed commons. We show that it is possible to overcome a number of criticisms of earlier work by Ostrom (Governing the commons. The evolution of institutions for collective action, Cambridge University Press, Cambridge, 1990) on natural commons and its excludability/rivalry matrix in addressing the inclusive social practices of ""commoning"", defined as a way of living and acting for the preservation of the commons. Our empirical analysis emphasizes, using the most recent advances in the IAD/SES framework, the distributed and collaborative knowledge governance in a French peasant seed network as a key driver for reintroducing cultivated agrobiodiversity and on-farm seed conservation of ancient and landrace varieties. These inclusive peasant seed groups developed alternative peer-to-peer models of collaborative peasant-led community-based breeding and grassroots innovations in the search for more resilient population varieties. Our results highlight the various models of collective action within the network and discuss the organizational tradeoffs of opting out of peasant seed activities and recreating a shared collective knowledge base on the benefits of restoring cultivated agrobiodiversity. It helps us better understand how modern peasant seed groups function as epistemic communities which contributes to envisioning alternative agricultural systems.";"In this article, we expand the analytical and theoretical foundations of the study of knowledge commons in the context of more classical agrarian commons, such as seed commons. We show that it is possible to overcome a number of criticisms of earlier work by Ostrom (Governing the commons. The evolution of institutions for collective action, Cambridge University Press, Cambridge, 1990) on natural commons and its excludability/rivalry matrix in addressing the inclusive social practices of ""commoning"", defined as a way of living and acting for the preservation of the commons. Our empirical analysis emphasizes, using the most recent advances in the IAD/SES framework, the distributed and collaborative knowledge governance in a French peasant seed network as a key driver for reintroducing cultivated agrobiodiversity and on-farm seed conservation of ancient and landrace varieties. These inclusive peasant seed groups developed alternative peer-to-peer models of collaborative peasant-led community-based breeding and grassroots innovations in the search for more resilient population varieties. Our results highlight the various models of collective action within the network and discuss the organizational tradeoffs of opting out of peasant seed activities and recreating a shared collective knowledge base on the benefits of restoring cultivated agrobiodiversity. It helps us better understand how modern peasant seed groups function as epistemic communities which contributes to envisioning alternative agricultural systems.";10.1007/s10460-020-10172-z;WOS:000583974500002;NETHERLANDS;Agricultural and Biological Sciences;Social Sciences & Humanities;Q1
Xia T., Roper S.;Unpacking Open Innovation: Absorptive Capacity, Exploratory and Exploitative Openness, and the Growth of Entrepreneurial Biopharmaceutical Firms;2016;In this article, we explore the relationship between two key aspects of open innovation in small firms—absorptive capacity (ACAP) and external relationships—and their effects on growth in the U.S. and European biopharmaceutical sectors. Results from an international sample of 349 biopharmaceutical firms surveyed in the United States, United Kingdom, France, and Germany suggest that realized ACAP plays an important role in determining firms’ growth. In terms of the interaction between firms’ ACAP and external relationships, we find that engagement with exploratory relationships depends strongly on the continuity of R&D, while participation in exploitative relationships is more conditional on firms’ realized ACAP. © 2016 International Council for Small Business;In this article, we explore the relationship between two key aspects of Open Innovation in small firms—absorptive capacity (ACAP) and external relationships—and their effects on growth in the U.S. and European biopharmaceutical sectors. Results from an international sample of 349 biopharmaceutical firms surveyed in the United States, United Kingdom, France, and Germany suggest that realized ACAP plays an important role in determining firms’ growth. In terms of the interaction between firms’ ACAP and external relationships, we find that engagement with exploratory relationships depends strongly on the continuity of R&D, while participation in exploitative relationships is more conditional on firms’ realized ACAP. ;10.1111/jsbm.12220;2-s2.0-84975769483;United Kingdom;Business, Management and Accounting;Social Sciences & Humanities;Q1
Van De Vrande V., Vanhaverbeke W., Gassmann O.;Broadening the scope of open innovation: Past research, current state and future directions;2010;In this first paper of the special issue, we identify some trends in open innovation research by analysing how the literature on this topics has evolved since the introduction of the concept in 2003. Research on open innovation has been mushrooming ever since and the scope has been broadened in different directions. Researchers also started to analyse open innovation at different level of analysis from the individual actors in organisations to ecosystems and national innovation systems. Despite the vast growth in research on open innovation, we identified several directions for further research: open innovation research should be linked to other management areas such as marketing, HRM, change management, etc. In addition, our understanding of open innovation could be improved if the recently developed insights could be related to the existing management theories. Copyright © 2010 Inderscience Enterprises Ltd.;In this first paper of the special issue, we identify some trends in Open Innovation research by analysing how the literature on this topics has evolved since the introduction of the concept in 2003. Research on Open Innovation has been mushrooming ever since and the scope has been broadened in different directions. Researchers also started to analyse Open Innovation at different level of analysis from the individual actors in organisations to ecosystems and national innovation systems. Despite the vast growth in research on Open Innovation, we identified several directions for further research: Open Innovation research should be linked to other management areas such as marketing, HRM, change management, etc. In addition, our understanding of Open Innovation could be improved if the recently developed insights could be related to the existing management theories.  ;10.1504/IJTM.2010.035974;2-s2.0-77957975526;Netherlands;"Business, Management and Accounting; Computer Science; Engineering; Social Sciences";Social Sciences & Humanities;Q1
Brunswicker S., Vanhaverbeke W.;Open Innovation in Small and Medium-Sized Enterprises (SMEs): External Knowledge Sourcing Strategies and Internal Organizational Facilitators;2015;In this paper we explore how small and medium-sized enterprises (SMEs) engage in external knowledge sourcing, a form of inbound open innovation. We draw upon a sample of 1,411 SMEs and empirically conceptualize a typology of strategic types of external knowledge sourcing, namely minimal, supply-chain, technology-oriented, application-oriented, and full-scope sourcing. Each strategy reflects the nature of external interactions and is linked to a distinct mixture of four internal practices for managing innovation. Both full-scope and application-oriented sourcing offer performance benefits and are associated with a stronger focus on managing innovation. However, they differ in their managerial focus on strategic and operational aspects. © 2015 International Council for Small Business.;In this paper we explore how small and medium-sized enterprises (SMEs) engage in external knowledge sourcing, a form of inbound Open Innovation. We draw upon a sample of 1,411 SMEs and empirically conceptualize a typology of strategic types of external knowledge sourcing, namely minimal, supply-chain, technology-oriented, application-oriented, and full-scope sourcing. Each strategy reflects the nature of external interactions and is linked to a distinct mixture of four internal practices for managing innovation. Both full-scope and application-oriented sourcing offer performance benefits and are associated with a stronger focus on managing innovation. However, they differ in their managerial focus on strategic and operational aspects. ;10.1111/jsbm.12120;2-s2.0-85028227923;United States;Business, Management and Accounting;Social Sciences & Humanities;Q1
Triguero Á., Córcoles D., Fernández S.;Influence of open innovation strategies on employment dynamics: evidence for Spanish manufacturing firms;2020;In this paper, we explore the influence of different modes of openness of innovative firms on employment growth. Using a panel database of Spanish manufacturing firms during the period 1998–2015, we analyze the influence open innovation (OI) strategies on employment distinguishing by type of external partner. The main objective of the research is to know whether opening innovation strategy contributes to employment taken into account another firm capabilities and sectorial technological opportunities. For this purpose, a two-step procedure is specified. Firstly, a random-effect computes the effects of OI on the innovation probability. In the second step, the variation of innovativeness due to openness on GMM-system estimation controlling by potential endogeneity and unobserved firm heterogeneity is used. The results support that the influence of open strategy on employment growth is positive. Moreover, the employment depends on the breadth of OI measured by the number of out-inbound relationships. Finally, the employment consequences are different for each mode of open strategy. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.;In this paper, we explore the influence of different modes of openness of innovative firms on employment growth. Using a panel database of Spanish manufacturing firms during the period 1998–2015, we analyze the influence Open Innovation strategies on employment distinguishing by type of external partner. The main objective of the research is to know whether opening innovation strategy contributes to employment taken into account another firm capabilities and sectorial technological opportunities. For this purpose, a two-step procedure is specified. Firstly, a random-effect computes the effects of OI on the innovation probability. In the second step, the variation of innovativeness due to openness on GMM-system estimation controlling by potential endogeneity and unobserved firm heterogeneity is used. The results support that the influence of open strategy on employment growth is positive. Moreover, the employment depends on the breadth of OI measured by the number of out-inbound relationships. Finally, the employment consequences are different for each mode of open strategy. ;10.1080/10438599.2019.1615169;2-s2.0-85070240706;Spain;"Business, Management and Accounting; Economics, Econometrics and Finance";Social Sciences & Humanities;Q1
Mei L., Zhang T., Chen J.;Exploring the effects of inter-firm linkages on SMEs' open innovation from an ecosystem perspective: An empirical study of Chinese manufacturing SMEs;2019;In this paper, we study the effects of inter-firm linkages on the open innovation of small- and medium-sized enterprises (SMEs) from an innovation ecosystem perspective. Based on resource dependence theory and the bipartite structure of business ecosystems, we divide a SME's external linkages with its partners in an innovation ecosystem into two types (i.e. the Linkages of a SME with its Prominent Organizations (LPO) and the Linkages of the SME with its Service Intermediaries (LSI)). We then examine the relationships between LPO (and LSI) and the SME's innovation performance and analyze the influences of the SME's absorptive capacity on the two relationships. Research results support a positive relationship between LPO and SMEs' innovation performance, and a positive relationship between LSI and SMEs' innovation performance and a positive relationship between LSI and LPO. In addition, research results show that when measured by R&D intensity, SMEs' absorptive capacity weakens the positive effects of LPO (and LSI) on SMEs' innovation performance, whereas when measured by IT adoption, SMEs' absorptive capacity strengthens the two positive relationships. Relevant theoretical and managerial contributions are discussed. © 2019 Elsevier Inc.;In this paper, we study the effects of inter-firm linkages on the Open Innovation of small- and medium-sized enterprises (SMEs) from an innovation ecosystem perspective. Based on resource dependence theory and the bipartite structure of business ecosystems, we divide a SME's external linkages with its partners in an innovation ecosystem into two types (i.e. the Linkages of a SME with its Prominent Organizations (LPO) and the Linkages of the SME with its Service Intermediaries (LSI)). We then examine the relationships between LPO (and LSI) and the SME's innovation performance and analyze the influences of the SME's absorptive capacity on the two relationships. Research results support a positive relationship between LPO and SMEs' innovation performance, and a positive relationship between LSI and SMEs' innovation performance and a positive relationship between LSI and LPO. In addition, research results show that when measured by R&D intensity, SMEs' absorptive capacity weakens the positive effects of LPO (and LSI) on SMEs' innovation performance, whereas when measured by IT adoption, SMEs' absorptive capacity strengthens the two positive relationships. Relevant theoretical and managerial contributions are discussed. ;10.1016/j.techfore.2019.04.010;2-s2.0-85067937813;China;"Business, Management and Accounting; Psychology";Social Sciences & Humanities;Q1
Gemünden H.G., Salomo S., Hölzle K.;Role models for radical innovations in times of open innovation;2007;In this paper, we study the influence of innovator roles in highly innovative ventures. In order to obtain a differentiated picture we take into account the degree of innovativeness as a moderating variable. To test our hypotheses we use a sample of 146 highly innovative new product development projects. We choose a rigorous sampling design and apply state-of-the-art measures for the degree of innovativeness. Furthermore, we apply multi-trait-multi-method methodology (MTMM) to enhance the validity of our study. The results show that innovator roles have a strong influence on innovation success but these influences are positively and negatively moderated by innovativeness. The moderating influences depend on the type of innovativeness. Remarkably, with increasing technological innovativeness innovator roles which create inter-organizational links with the outside world appear to be more important than intra-organizational linker roles, and support from high-ranked organizational members turns out to have a significant negative effect on project success with higher degrees of technological innovativeness. Possible explanations for these findings are discussed and consequences for innovation research and innovation management are shown. © 2007 Blackwell Publishing Ltd.;In this paper, we study the influence of innovator roles in highly innovative ventures. In order to obtain a differentiated picture we take into account the degree of innovativeness as a moderating variable. To test our hypotheses we use a sample of 146 highly innovative new product development projects. We choose a rigorous sampling design and apply state-of-the-art measures for the degree of innovativeness. Furthermore, we apply multi-trait-multi-method methodology (MTMM) to enhance the validity of our study. The results show that innovator roles have a strong influence on innovation success but these influences are positively and negatively moderated by innovativeness. The moderating influences depend on the type of innovativeness. Remarkably, with increasing technological innovativeness innovator roles which create inter-organizational links with the outside world appear to be more important than intra-organizational linker roles, and support from high-ranked organizational members turns out to have a significant negative effect on project success with higher degrees of technological innovativeness. Possible explanations for these findings are discussed and consequences for innovation research and innovation management are shown. ;10.1111/j.1467-8691.2007.00451.x;2-s2.0-85040408316;Germany;Business, Management and Accounting;Social Sciences & Humanities;Q1
Silva S.E., Venâncio A., Silva J.R., Gonçalves C.A.;Open innovation in science parks: The role of public policies;2020;In this study, we evaluate how science parks (SPs) promote open innovation (OI) and the role played by public policies (PPs) in this process. To perform this analysis, we introduce an initial framework based on three dimensions: the launching of SPs, the role of SPs in promoting OI, and the role of SPs as PP vectors for promoting OI. Following a qualitative study based on visits, archival analysis and interviews with SP professionals located in Brazil and Portugal, we may report that SPs promote OI by spontaneous mechanisms, deliberate actions, and as PP vectors. Furthermore, PPs promote OI in SPs both directly and indirectly. In our comparative analysis, we take into consideration the differences between the two countries. We also introduce a framework that integrates PPs, OI and SPs. As a practical implication, our framework serves to enact better PPs for SPs and thereby promoting more efficient OI. © 2019 Elsevier Inc.;In this study, we evaluate how science parks (SPs) promote Open Innovation and the role played by public policies (PPs) in this process. To perform this analysis, we introduce an initial framework based on three dimensions: the launching of SPs, the role of SPs in promoting OI, and the role of SPs as PP vectors for promoting OI. Following a qualitative study based on visits, archival analysis and interviews with SP professionals located in Brazil and Portugal, we may report that SPs promote OI by spontaneous mechanisms, deliberate actions, and as PP vectors. Furthermore, PPs promote OI in SPs both directly and indirectly. In our comparative analysis, we take into consideration the differences between the two countries. We also introduce a framework that integrates PPs, OI and SPs. As a practical implication, our framework serves to enact better PPs for SPs and thereby promoting more efficient OI. ;10.1016/j.techfore.2019.119844;2-s2.0-85075852996;Brazil;"Business, Management and Accounting; Psychology";Social Sciences & Humanities;Q1
Pustovrh A., Rangus K., Drnovšek M.;The role of open innovation in developing an entrepreneurial support ecosystem;2020;In this study, we use the open innovation paradigm to analyze the development of an entrepreneurial support ecosystem. We argue that business accelerators play a critical role within an emerging entrepreneurial ecosystem. Our analysis draws on qualitative data from a business accelerator in such a context. We suggest that, in environments that have underdeveloped entrepreneurial support ecosystems, public policy should endorse the open innovation activities of key actors in entrepreneurial ecosystems. By harnessing open innovation, an accelerator forges a broader network of relationships with actors outside of the system, which in turn increases the capacity within the system and embeds it within a global innovation system. © 2019 Elsevier Inc.;In this study, we use the Open Innovation paradigm to analyze the development of an entrepreneurial support ecosystem. We argue that business accelerators play a critical role within an emerging entrepreneurial ecosystem. Our analysis draws on qualitative data from a business accelerator in such a context. We suggest that, in environments that have underdeveloped entrepreneurial support ecosystems, public policy should endorse the Open Innovation activities of key actors in entrepreneurial ecosystems. By harnessing Open Innovation, an accelerator forges a broader network of relationships with actors outside of the system, which in turn increases the capacity within the system and embeds it within a global innovation system. ;10.1016/j.techfore.2019.119892;2-s2.0-85078159578;Slovenia;"Business, Management and Accounting; Psychology";Social Sciences & Humanities;Q1
Jasimuddin S.M., Naqshbandi M.M.;Knowledge infrastructure capability, absorptive capacity and inbound open innovation: evidence from SMEs in France;2019;Inbound open innovation (IOI) has become a potentially valuable means of gaining competitive advantage and enhancing organizational performance. This article explores how knowledge infrastructure capability (KIC) affects IOI through the moderating role of absorptive capacity. This research conceptualizes and develops three dimensions of KIC (technological, structural and cultural), and tests the relationships between KIC, absorptive capacity and IOI. Data for the study were collected from 125 small and medium enterprises (SMEs) based in France, and the relationships proposed in the framework were tested using structural equation modeling (SEM). The results indicate that higher levels of KIC can lead to enhanced absorptive capacity and improved IOI. That is, KIC can have a direct, positive impact on absorptive capacity and IOI. Moreover, absorptive capacity partially mediates the linkage between KIC and IOI. The article contributes to the conceptualization of the impact of KIC on IOI, by emphasizing a firm’s absorptive capacity. It offers a validated instrument to measure KIC, and provides an empirical evidence of the impact of KIC on absorptive capacity and IOI. This article also extends the extant literature by focusing on KIC and absorptive capacity simultaneously in a model to understand the notion of IOI in the SMEs based in France. This study offers useful guidance for measuring and implementing KIC in a SME context and encourages further research in this area. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.;Inbound Open Innovation (IOI) has become a potentially valuable means of gaining competitive advantage and enhancing organizational performance. This article explores how knowledge infrastructure capability (KIC) affects IOI through the moderating role of absorptive capacity. This research conceptualizes and develops three dimensions of KIC (technological, structural and cultural), and tests the relationships between KIC, absorptive capacity and IOI. Data for the study were collected from 125 small and medium enterprises (SMEs) based in France, and the relationships proposed in the framework were tested using structural equation modeling (SEM). The results indicate that higher levels of KIC can lead to enhanced absorptive capacity and improved IOI. That is, KIC can have a direct, positive impact on absorptive capacity and IOI. Moreover, absorptive capacity partially mediates the linkage between KIC and IOI. The article contributes to the conceptualization of the impact of KIC on IOI, by emphasizing a firm’s absorptive capacity. It offers a validated instrument to measure KIC, and provides an empirical evidence of the impact of KIC on absorptive capacity and IOI. This article also extends the extant literature by focusing on KIC and absorptive capacity simultaneously in a model to understand the notion of IOI in the SMEs based in France. This study offers useful guidance for measuring and implementing KIC in a SME context and encourages further research in this area. ;10.1080/09537287.2019.1582097;2-s2.0-85068221767;France;"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering";Social Sciences & Humanities;Q1
Lyu Y., He B., Zhu Y., Li L.;Network embeddedness and inbound open innovation practice: The moderating role of technology cluster;2019;Inbound open innovation has become a prevalent innovation strategy used to strengthen firms' technology competitiveness in the fast-changing industrial and technological environment. The effective governance of firms' ego-centered innovation networks to facilitate and accelerate inbound open innovation practice is the main concern of scholars and firm leaders. In this paper, we elucidate the impact of network embeddedness on inbound open innovation practice by considering technology cluster an important moderator. We conduct a patent citation network analysis and a hierarchical regression analysis to empirically study the patent citation data of four emerging high-tech industries according to the stages of their industrial technology development. Our results show that during the initial and growth stages of industrial technology development, the centrality and network reach of a firm's network embeddedness exert a positive impact on the inbound open innovation practice. This relationship is positively moderated by clustering and the bridging ties of the technology cluster in which the firm is involved. During the stable stage, only the network reach improves firms' inbound open innovation practice, while centrality becomes a hazard. Furthermore, clustering decreases the negative effect of centrality and enhances the positive effect of network reach. Bridging ties show no moderating effect. Our findings deepen the understanding of scholars and practitioners regarding how inbound open innovation practice varies in different innovation network settings at both the firm and cluster levels. © 2019;Inbound Open Innovation has become a prevalent innovation strategy used to strengthen firms' technology competitiveness in the fast-changing industrial and technological environment. The effective governance of firms' ego-centered innovation networks to facilitate and accelerate inbound Open Innovation practice is the main concern of scholars and firm leaders. In this paper, we elucidate the impact of network embeddedness on inbound Open Innovation practice by considering technology cluster an important moderator. We conduct a patent citation network analysis and a hierarchical regression analysis to empirically study the patent citation data of four emerging high-tech industries according to the stages of their industrial technology development. Our results show that during the initial and growth stages of industrial technology development, the centrality and network reach of a firm's network embeddedness exert a positive impact on the inbound Open Innovation practice. This relationship is positively moderated by clustering and the bridging ties of the technology cluster in which the firm is involved. During the stable stage, only the network reach improves firms' inbound Open Innovation practice, while centrality becomes a hazard. Furthermore, clustering decreases the negative effect of centrality and enhances the positive effect of network reach. Bridging ties show no moderating effect. Our findings deepen the understanding of scholars and practitioners regarding how inbound Open Innovation practice varies in different innovation network settings at both the firm and cluster levels. ;10.1016/j.techfore.2019.03.018;2-s2.0-85064248776;China;"Business, Management and Accounting; Psychology";Social Sciences & Humanities;Q1
Wincent J., Anokhin S., Boter H.;Network board continuity and effectiveness of open innovation in Swedish strategic small-firm networks;2009;"Increasing adoption of open innovation as an alternative route to research and development necessitates the development of new ways to organize innovation, as well as reassessment of existing ways. Much like traditional corporations that subscribe to the closed innovation paradigm, novel organizational arrangements targeting open innovation, such as small-firm networks, employ boards to effectively manage joint research-and-development activities. These boards are similar yet different from traditional corporate boards; as such, they may have different requirements for proper functioning. We use 5-year longitudinal data on 53 Swedish strategic small-firm networks to investigate how the boards should be organized to help improve the innovative status of network participants. We expand the set of tools available for effective organization of the boards' operations and emphasize the effects of network board continuity (rates of renewal) on network members' innovative performance. We argue that the relationship is curvilinear (U-shaped) and demonstrate that it is more pronounced in larger networks. © 2009 Blackwell Publishing Ltd.";"Increasing adoption of Open Innovation as an alternative route to research and development necessitates the development of new ways to organize innovation, as well as reassessment of existing ways. Much like traditional corporations that subscribe to the closed innovation paradigm, novel organizational arrangements targeting Open Innovation, such as small-firm networks, employ boards to effectively manage joint research-and-development activities. These boards are similar yet different from traditional corporate boards; as such, they may have different requirements for proper functioning. We use 5-year longitudinal data on 53 Swedish strategic small-firm networks to investigate how the boards should be organized to help improve the innovative status of network participants. We expand the set of tools available for effective organization of the boards' operations and emphasize the effects of network board continuity (rates of renewal) on network members' innovative performance. We argue that the relationship is curvilinear (U-shaped) and demonstrate that it is more pronounced in larger networks. ";10.1111/j.1467-9310.2008.00539.x;2-s2.0-58149262882;Sweden;Business, Management and Accounting;Social Sciences & Humanities;Q1
Bröring S.;Developing innovation strategies for convergence - Is 'open innovation' imperative?;2010;Industrial change leading to industry convergence can be observed in many industries. This is provoked by the application of new technologies across industry boundaries, changing customer structures and regulations. Convergence presents a particular context for innovation and technology management, as firms face new bodies of technological and market knowledge which may create competence gaps. This paper asks the following question: what kind of innovation strategies do players with different industry backgrounds employ to address new industry segments resulting from industry convergence? By analysing three different industry cases of convergence, this paper explores how firms in different industries address competence gaps they face by positioning themselves in a newly emerging value chain. Empirical findings indicate that the innovation strategies which firms follow in converging industries may create conflicts with existing path-dependencies. Hence, to overcome these conflicts, open innovation built on dynamic capabilities (like alliance building) plays a major role in industry convergence. Copyright © 2010 Inderscience Enterprises Ltd.;Industrial change leading to industry convergence can be observed in many industries. This is provoked by the application of new technologies across industry boundaries, changing customer structures and regulations. Convergence presents a particular context for innovation and technology management, as firms face new bodies of technological and market knowledge which may create competence gaps. This paper asks the following question: what kind of innovation strategies do players with different industry backgrounds employ to address new industry segments resulting from industry convergence? By analysing three different industry cases of convergence, this paper explores how firms in different industries address competence gaps they face by positioning themselves in a newly emerging value chain. Empirical findings indicate that the innovation strategies which firms follow in converging industries may create conflicts with existing path-dependencies. Hence, to overcome these conflicts, Open Innovation built on dynamic capabilities (like alliance building) plays a major role in industry convergence. ;10.1504/ijtm.2010.029421;2-s2.0-72049087986;Germany;"Business, Management and Accounting; Computer Science; Engineering; Social Sciences";Social Sciences & Humanities;Q1
Chesbrough H.;Managing open innovation;2004;"Industrial innovation is becoming more open, requiring changes in how firms manage innovation. External sources of knowledge become more prominent, while external channels to market also offer greater promise. This complicates the evaluation of early-stage technology projects, which often involve significant technical and market uncertainty. In such circumstances, companies need to ""play poker"" as well as chess. Measurement errors (false positives, false negatives) are likely to arise from judgments about the commercial potential of early-stage projects. Most companies' policies consciously limit ""false positives"" in assessing a project's commercial potential, but few companies take steps to manage the risk of ""false negatives."" New metrics may help a firm focus more upon external sources of innovation to enhance its business model, and enable the firm to salvage value from false negatives that otherwise would be lost.";"Industrial innovation is becoming more open, requiring changes in how firms manage innovation. External sources of knowledge become more prominent, while external channels to market also offer greater promise. This complicates the evaluation of early-stage technology projects, which often involve significant technical and market uncertainty. In such circumstances, companies need to ""play poker"" as well as chess. Measurement errors (false positives, false negatives) are likely to arise from judgments about the commercial potential of early-stage projects. Most companies' policies consciously limit ""false positives"" in assessing a project's commercial potential, but few companies take steps to manage the risk of ""false negatives."" New metrics may help a firm focus more upon external sources of innovation to enhance its business model, and enable the firm to salvage value from false negatives that otherwise would be lost.";10.1080/08956308.2004.11671604;2-s2.0-0346503010;United States;"Business, Management and Accounting; Engineering";Social Sciences & Humanities;Q1
de Mattos C.A., Kissimoto K.O., Laurindo F.J.B.;The role of information technology for building virtual environments to integrate crowdsourcing mechanisms into the open innovation process;2018;Information technology enabled the development of the virtual environment, allowing collaboration with external agents and leveraging the open innovation process. Crowdsourcing is an example of this new environment, using collaboration to enhance capabilities and relationships and as a way to accelerate innovation. However, companies are still searching for the best way to apply the crowdsourcing to internal processes to create value. Based on this context, the general objective of this research is to analyze how Brazilian companies have integrated crowdsourcing mechanisms into the open innovation process. To achieve the objectives, case studies conducted in two Brazilian organizations from different sectors were applied. The results contribute to a better understanding of the adopted crowdsourcing mechanism and the adequate technological aspects that enable the operation of the open innovation process. © 2018 Elsevier Inc.;Information technology enabled the development of the virtual environment, allowing collaboration with external agents and leveraging the Open Innovation process. Crowdsourcing is an example of this new environment, using collaboration to enhance capabilities and relationships and as a way to accelerate innovation. However, companies are still searching for the best way to apply the crowdsourcing to internal processes to create value. Based on this context, the general objective of this research is to analyze how Brazilian companies have integrated crowdsourcing mechanisms into the Open Innovation process. To achieve the objectives, case studies conducted in two Brazilian organizations from different sectors were applied. The results contribute to a better understanding of the adopted crowdsourcing mechanism and the adequate technological aspects that enable the operation of the Open Innovation process. ;10.1016/j.techfore.2017.12.020;2-s2.0-85040446103;Brazil;"Business, Management and Accounting; Psychology";Social Sciences & Humanities;Q1
Figaredo D.D., Álvarez J.F.Á.;Social networks and university spaces. Knowledge and open innovation in the Ibero-American knowledge space [Redes sociales y espacios universitarios. Conocimiento e innovación abierta en el espacio iberoamericano del conocimiento];2012;Information technology-based social spaces can open up new ways to facilitate the university community's participation in decision-making processes. Although the appropriation of technology is very high and widespread among university groups, there is a very weak presence of suitable structures and processes that enable institutions to channel online participation, to analyse their impact on improving organisational goals and, ultimately, to make use of such open processes as a means of generating innovations in their main lines of action. Based on the experience of coordinating the UniversiaG10 project, the Social Web platform of the 2nd Universia International Meeting of Rectors, this article proposes some innovations and elements that justify the need to move towards true e-governance of universities. Drawing on the design and results of this project, we review the bases of sociability on the Web by taking account of grassroots movements and new hybrid models of interaction on social networks, both on- and offline. Building on these experiences and a critical analysis of them, we consider ways to nudge towards open-innovation processes in higher education institutions by taking the dynamics of participation in the Social Web as the point of reference. In particular, two cases of socioeducational innovation stemming from the actions implemented while the project was running are conceptualised: firstly, the institutionalisation of participatory logics and, secondly, community-based dynamics. The conclusions highlight the opportunity to move towards e-governance models in universities in order to integrate open innovation and university-community participation dynamics through social technologies.;Information technology-based social spaces can open up new ways to facilitate the university community's participation in decision-making processes. Although the appropriation of technology is very high and widespread among university groups, there is a very weak presence of suitable structures and processes that enable institutions to channel online participation, to analyse their impact on improving organisational goals and, ultimately, to make use of such open processes as a means of generating innovations in their main lines of action. Based on the experience of coordinating the UniversiaG10 project, the Social Web platform of the 2nd Universia International Meeting of Rectors, this article proposes some innovations and elements that justify the need to move towards true e-governance of universities. Drawing on the design and results of this project, we review the bases of sociability on the Web by taking account of grassroots movements and new hybrid models of interaction on social networks, both on- and offline. Building on these experiences and a critical analysis of them, we consider ways to nudge towards open-innovation processes in higher education institutions by taking the dynamics of participation in the Social Web as the point of reference. In particular, two cases of socioeducational innovation stemming from the actions implemented while the project was running are conceptualised: firstly, the institutionalisation of participatory logics and, secondly, community-based dynamics. The conclusions highlight the opportunity to move towards e-governance models in universities in order to integrate Open Innovation and university-community participation dynamics through social technologies.;;2-s2.0-84856428807;Spain;0;Social Sciences & Humanities;Q1
Herskovits R., Grijalbo M., Tafur J.;Understanding the main drivers of value creation in an open innovation program;2013;"Innovation has been identified as the single most relevant element in fuelling corporations' competitive advantage and ultimate value creation. Corporations no longer rely on a single, linear structure of innovation; the new paradigm of open innovation opens up new possibilities of organizing innovation within the ecosystem, thus giving rise to new drivers for value creation. These value drivers have an impact on the strategic position of the firm and have the ability to create superior financial performance. In this paper we explore the close relationship between open innovation and value creation and propose a framework to analyze this process as well as the most critical elements involved. © 2013 Springer Science+Business Media New York.";"Innovation has been identified as the single most relevant element in fuelling corporations' competitive advantage and ultimate value creation. Corporations no longer rely on a single, linear structure of innovation; the new paradigm of Open Innovation opens up new possibilities of organizing innovation within the ecosystem, thus giving rise to new drivers for value creation. These value drivers have an impact on the strategic position of the firm and have the ability to create superior financial performance. In this paper we explore the close relationship between Open Innovation and value creation and propose a framework to analyze this process as well as the most critical elements involved. ";10.1007/s11365-013-0267-2;2-s2.0-84887264216;Spain;Business, Management and Accounting;Social Sciences & Humanities;Q1
