Abstract;Ref
The Internet has dramatically changed everyone's access to information, knowledge and other people. In many fields, this has resulted in an opening up of business models, products, services and organizations. Examples include open academic publishing, open software and open innovation. Experts are increasingly aware that a significant amount of knowledge and experience exists outside of their companies and institutions, which used to be the exclusive creator, aggregator and curator of knowledge and the sole places of innovation. Institutions are responding by reducing their boundaries and are opening up to the outside. A particularly potent technology for engaging people and capturing their knowledge has been social media. However, theories of participation and participatory approaches to shaping the built environment greatly predate even the Internet. In this paper, we present a conceptual framework for open and creative designing. A proven three-tier architecture, various theoretical levels of participation and an abstract view on social media tools have been used to develop an original, flexible, generative, “one size does not fit all” platform that can be used for the optimal collection of external information and knowledge. The platform allows for simple enhancement of in-house information systems (IS) with socially rich components. We are finding such a modular approach as very flexible for organizations that host the planning processes and that the application of social media technology creates very low barriers for the public to contribute. © 2017 Elsevier Ltd;Ref022
Publishers will usually make decisions based on their experience and knowledge in book publishing. However, there are risks of losses as markets can be unpredictable. Now, with the availability of various online social platforms, “crowdsourcing” is being used by publishers and authors to gather new ideas and innovations. This article will analyze how the crowdsourcing platform is used by industry players to attract active participation from the public, especially in the title development process. Publishers or authors also need to understand which platform is appropriate and how to use the platforms as a marketing communication tool. The netnography approach will be used to gather and analyze the data related to the specific subject area of the study, including literature review and online observation. Based on our observations, platforms such Wattpad and Ilham Karangkraf are popular among Malaysian authors and publishers, and had been used to get crowd engagement as well as to communicate with readers. With it, sometimes a work that has many readers or followers will be published. © 2017, Springer Science+Business Media, LLC.;Ref023
"An important and frequently researched concept in the field of open innovation is the integration of lead users into the process for developing innovative product concepts. Social media has offered promising new possibilities for companies in terms of supporting lead user integration. This paper provides an overview of relevant aspects of lead user research, as well as the identification of lead users. Furthermore, we connect lead user theory with social media and discuss possible ways to identify lead users. Based on the conclusion that existing research does not yet sufficiently provide a detailed understanding on identifying lead users in social media, we conducted an empirical study to gain deeper insights in the social media habits of lead users; this involved a case study comprising 20 interviews. This study's findings present a rather ambivalent picture, concluding that identifying lead users via social media may work with some limitations. Social media can contribute complementary with established approaches like pyramiding to the identification of lead users, but it is not a standalone solution. It strongly depends on the content of the project and on the group of individuals where lead users should be originated. Based on these findings, we derive theoretical and managerial implications and show how companies can utilize social media in addition to established methods for identifying lead users. Finally, the paper concludes with a discussion of study limitations and recommendations for areas of further research. © 2017 World Scientific Publishing Company.";Ref024
The concepts of open innovation and big data have been largely explored, but little research focused on the use of big data for open innovation activities. We explore how big data obtained by social media can be useful for open innovation activities in Television (TV) domain. Results demonstrate that the analysis of open data coming from social media data allows TV managers to identify the specific TV contents and Twitter elements, which are able to increase the social media traffic related to the show and gain insights for innovating the design of the TV show’s episodes or seasons. © 2017 Taylor & Francis.;Ref025
Despite rigorous empirical research exploring the changes in innovation dynamics triggered by Social Media Networks (SMNs), the benefits coming from the use of these digital platforms for knowledge search in innovative activities for small to medium enterprises (SMEs) are still unexplored. Customers become the new trailblazers. Thus, by adopting a customer led innovation perspective, this paper seeks to measure the effect on return on investment (ROI) of the use of SMNs as external drivers for supporting internal innovation search processes. On the basis of the extant literature on information system and social network analysis, the research describes and evaluates the multidimensional activities interwoven into the open innovation process, driven by integrating the five constructs of structural dimension, relational behaviour, cognitive dimension, knowledge transfer, and legitimization into our hypothesised conceptual model. Empirical research was conducted via the Classification Regression Tree (CART) on a sample of 2548 SMEs belonging to the fashion industry and based in Italy and in the United Kingdom. This study is of importance to academics and practitioners due to the increasing significance taken on by the adoption of social media networks in the fashion industry to improve innovation search. Recommendations are made to fashion managers and social media experts to support the planning and development of new products and services. New contributions are offered to the innovation and knowledge management literature. In addition, theoretical implications and avenues for future research are also considered. © 2017 Elsevier Inc.;Ref026
Innovation scholars have long recognized entrepreneurship is ‘imitative’, whereas the commercialization of novelty is ‘innovative’. Thus they are highly distinctive skill-sets. Entrepreneurship, first, involves optimizing market sentiment for pure profit sometimes to the point of catastrophe and even fraudulence in many markets. These include: payment protection insurance (PPI) to ‘flash crashes’, automotive emission ‘defeat devices’, corporate bribery settlements, social media ‘hacking’, ‘fake news’ and a litany of other infractions and catastrophes. Innovation, by contrast, is more explorative and team-reliant. Even if patenting betrays the hope for commercialization on markets, patented innovation frequently fails. Some academic innovators even profess a preference for prizes over profits. Second, this means that collective ‘bonding’ among entrepreneurs, in the form of claimed ‘entrepreneurial ecosystems’, is often based on a single customer platform or as a supplier of a highly specialist type of ‘imitative’ service from identikit pizza chains to ‘me-too’ smartphone apps. Through the latter, fused with artificial intelligence some interactive machine-learning services have long-existed as ‘postsocial’ algorithms serving customers of, for example, investment banks in stock and currency markets. Finally, entrepreneurship is fundamentally competitive, individualistic and non-solidaristic, whereas ‘open innovation’ was born from the practices of ‘open science’ and the collegiate tradition of research. Accordingly, ‘entrepreneurial ecosystems’ can display more closure than RIS set-ups. This special issue explores aspects of these ecosystem platforms and their implications for emergent forms of urban and regional evolution in the near and nearly present future. © 2017 Informa UK Limited, trading as Taylor & Francis Group.;Ref027
This article revisits the concept of the public sector innovation champion. Reflecting changes in sectoral and wider contexts and conceptual advances in the innovation literature, it suggests that much of the underlying thinking behind the original article is of continuing relevance and suggests a number of directions in which this could now be extended, particularly in terms of the nature of innovation and the role of champions therein. It concludes by considering how innovation champions of the future will require a new skillset which draws on new and emergent technologies to align diverse sets of stakeholders in networks of ‘open innovation’. © 2016 Informa UK Limited, trading as Taylor & Francis Group.;Ref028
Purpose: The exchange of knowledge in social networks is fundamental to innovation. Open, interactive, innovation requires collaboration through social networks. This social networking is increasingly carried out across the Internet through social media applications. The purpose of this study is to explore the use of social media in open innovation, and explain how this practice is carried out in small and medium-sized enterprises (SMEs). With less resources than large firms, SMEs both have a greater need for open innovation and a less resources to invest in the process. Design/methodology/approach: In this paper, the authors study the case of open innovation in start-up Aurea Productiva and induce a framework for open innovation in SMEs powered by social media. Findings: The authors explore how the main advantages of the Web 2.0 translate into opportunities, challenges and strategies for open innovation that can be directly applied by managers. Research limitations/implications: The authors contribute to research on open innovation by social media and to research on the innovation process of SMEs. Future quantitative research could confirm and extend the authors’ findings. Practical implications: Companies that want to fully exploit the benefits of social media can create a strategy that emphasizes coevolution of innovation and resources, sharing their vision and objectives and providing a framework for innovation. Originality/value: The authors introduce an original analysis of opportunities, challenges and strategies for open innovation in SMEs. © 2017, © Emerald Publishing Limited.;Ref029
"Motivated by the multiple ‘success stories’ of the open innovation paradigm in the private sector, and also by the increasing complexity of social problems and needs, the public sector has started moving in this direction, attempting to exploit the extensive knowledge of citizens for the development of innovations in public policies and services. As the direct transfer of open innovation methods from the private sector to the public sector is not possible, it is necessary to develop effective ‘citizen-sourcing’ methods, which address the specific needs of the public sector, and then analyze and evaluate them from various political and management sciences' perspectives. This paper makes a two-fold contribution in this direction: i) It evaluates a novel method of monitoring relevant social media (e.g. political blogs, news websites, and also Facebook, Twitter, etc. accounts) by government agencies, by retrieving and making advanced processing of their content, and extracting from it external knowledge about specific domains of government activity or public policies of interest, in order to promote and support open innovation; ii) For this purpose it develops a multi-perspective evaluation framework, based on sound theoretical foundations from the political and management sciences, which can be of wide applicability; it includes three evaluation perspectives: a political perspective (based on the ‘wicked’ social problems theory from the political sciences), a crowd-sourcing perspective (based on previous management sciences research on crowd-sourcing) and a diffusion perspective (based on Roger's diffusion of innovation theory from management sciences). The above evaluation provides interesting insights into this novel method of promoting and supporting open innovation in the public sector through social media monitoring, revealing its capabilities and strengths, and at the same time its problems and weaknesses as well, and also ways/interventions for addressing the latter. © 2016";Ref030
This study seeks to address two research questions. First, how can citizen online communities support open innovation practices in the public sector? Second, what kinds of contributions are produced through social media platforms? These questions are examined through an experimental research setting and by analyzing interactions and contributions made in a neighborhood development–oriented Facebook group. This study contributes to the field of open innovation in the public sector by highlighting the networked nature of citizen participation and emphasizing citizens' capacity for meaningful contributions. © 2016 Elsevier Inc.;Ref031
Government transparency and information disclosure have received increasing attention from both academics and practitioners with the development of information technologies (ITs) and the Internet. Moreover, the popularity of social media applications has provided governments, especially governments in China and other developing countries, with new opportunities and challenges associated with the administrative shift toward open innovation. The official document exchange via microblogging (ODEM) of the Haining Bureau of Justice is a practical case of government open innovation in the social media context. Based on the ODEM case, this study uses the technology-organization-environment (TOE) framework to explore the factors that drive open innovation in China. We find that the support of top managers, the access and competence of IT personnel, and the regional economic and social environments are key determinants of the emergence of open innovation in the public sector. © 2016 Elsevier Inc.;Ref032
Purpose: The purpose of this paper is to explore and illustrate how organizations may use online communities strategically to adapt to a changing business environment, specifically from a dynamic capabilities perspective. Design/methodology/approach: The paper presents empirical evidence from three cases. Findings: Online communities may help organizations to adapt to a changing business environment by allowing them to sense opportunities and threats, seize opportunities and reconfigure organizational assets. Research limitations/implications: The paper contributes to both the strategy and the information systems literatures by providing empirical insights into the strategic use of online communities. Practical implications: The results of the paper are relevant for managers, helping them to understand the strategic role online communities (may) play and illustrating ways to use them accordingly. Originality/value: The paper addresses a previously defined gap in the literature and provides novel empirical evidence. As online communities become integral parts of digital strategy and open innovation initiatives, the paper is both timely and relevant. © 2017, © David Wagner, Matthias Wenzel, Heinz-Theo Wagner and Jochen Koch.;Ref033
This paper offers a review of the theory published on crowdsourcing tools from de point of view of the concept's adoption by researchers. Crowdsourcing is a concept that includes many of the online collaboration activities performed by crowds in response to an open call. The paper offers a perspective on the incremental amount of publications already available as an indicator of the level of such adoption, given that the adoption process in general takes time because there has to be a critical mass of ideas conformed by experts. This paper includes a review on the theoretical concepts related to crowdsourcing and technological adoption. Systematic search has been done and the obtained information is included. Finally some conclusions are delivered. © 2016 Journal of Innovation & Knowledge;Ref034
Sustainability and social media use in open innovation play important roles in a firm's new product development (NPD) process. This research examines, in conjunction, the roles of sustainability and social media driven inbound open innovation (SMOI) for a firm's NPD performance, and further, takes a more refined approach by differentiating between different types of SMOI activities. To this end, this research develops and tests a conceptual framework, which predicts that (1) a firm's sustainability orientation (SO) is positively associated with its NPD performance, (2) customer focus (CF) partially mediates the SO–NPD performance link, and (3) particular SMOI activities moderate the CF–NPD performance link. The empirical results, using data from the Product Development and Management Association (PDMA)'s comparative performance assessment study, provide support for most of the framework. Notably, this research documents a positive link between SO and NPD performance, as well as a partial mediating role of CF. The results further suggest that social media driven open innovation activities focused on gathering market insights enhance CF directly, while social media driven open innovation activities that garner technical expertise enhance the link between CF and NPD performance. This paper bridges the separate literatures on sustainability and open innovation, and contributes to the NPD research. The findings suggest that managers should take a strategic approach to sustainability and embed it in the NPD process. Furthermore, managers should manage social media based open innovation carefully to fully benefit the firm during the front end and back end of NPD. © 2016 Product Development & Management Association;Ref035
